LOC,CC,PC,Is_Long_Method
287,141,1,TRUE
332,75,0,TRUE
139,24,3,TRUE
137,22,0,TRUE
160,27,0,TRUE
477,97,0,TRUE
244,43,0,TRUE
336,154,0,TRUE
249,138,0,TRUE
254,45,0,TRUE
127,29,1,TRUE
108,20,0,TRUE
110,1,1,TRUE
178,44,0,TRUE
244,55,0,TRUE
207,52,0,TRUE
142,32,0,TRUE
101,24,0,TRUE
406,78,1,TRUE
673,150,1,TRUE
546,80,1,TRUE
108,22,1,TRUE
328,93,0,TRUE
103,35,2,TRUE
130,15,0,TRUE
125,27,2,TRUE
121,3,0,TRUE
162,1,0,TRUE
115,1,0,TRUE
114,3,0,TRUE
162,3,0,TRUE
127,26,3,TRUE
108,18,1,TRUE
219,68,5,TRUE
120,21,1,TRUE
142,26,5,TRUE
107,9,2,TRUE
104,8,2,TRUE
126,12,3,TRUE
242,58,3,TRUE
188,36,2,TRUE
110,22,3,TRUE
133,14,1,TRUE
102,18,2,TRUE
469,1,0,TRUE
309,9,0,TRUE
169,1,0,TRUE
366,1,0,TRUE
239,3,0,TRUE
100,1,0,TRUE
102,21,3,TRUE
124,25,1,TRUE
122,25,2,TRUE
133,29,1,TRUE
100,15,3,TRUE
123,50,0,TRUE
131,44,2,TRUE
104,35,4,TRUE
110,38,2,TRUE
372,204,2,TRUE
201,35,0,TRUE
122,50,0,TRUE
131,46,1,TRUE
136,51,2,TRUE
142,48,2,TRUE
102,32,2,TRUE
354,193,2,TRUE
120,20,2,TRUE
123,24,0,TRUE
111,29,0,TRUE
123,23,1,TRUE
126,28,3,TRUE
167,62,1,TRUE
162,27,3,TRUE
105,1,0,TRUE
234,1,0,TRUE
121,1,0,TRUE
100,19,1,TRUE
130,13,0,TRUE
100,10,0,TRUE
106,10,0,TRUE
108,7,0,TRUE
107,1,0,TRUE
164,1,0,TRUE
144,1,0,TRUE
140,1,0,TRUE
244,19,0,TRUE
138,65,2,TRUE
201,36,1,TRUE
302,99,0,TRUE
153,62,2,TRUE
146,67,2,TRUE
109,20,0,TRUE
108,19,6,TRUE
120,23,2,TRUE
117,18,1,TRUE
114,21,2,TRUE
120,31,2,TRUE
109,30,2,TRUE
149,37,1,TRUE
118,3,0,TRUE
145,3,0,TRUE
320,77,1,TRUE
319,83,2,TRUE
798,183,4,TRUE
432,92,3,TRUE
141,29,4,TRUE
135,28,2,TRUE
174,37,1,TRUE
176,44,2,TRUE
101,20,2,TRUE
243,47,4,TRUE
130,29,2,TRUE
109,33,2,TRUE
204,44,2,TRUE
133,40,1,TRUE
185,41,1,TRUE
112,25,1,TRUE
102,16,2,TRUE
124,20,2,TRUE
158,36,2,TRUE
378,5,0,TRUE
160,5,0,TRUE
528,5,0,TRUE
314,5,0,TRUE
120,1,0,TRUE
696,15,0,TRUE
118,1,0,TRUE
208,1,0,TRUE
243,3,0,TRUE
188,1,0,TRUE
122,1,0,TRUE
293,5,0,TRUE
182,3,0,TRUE
215,1,0,TRUE
111,1,0,TRUE
100,22,0,TRUE
199,1,0,TRUE
109,3,0,TRUE
112,1,0,TRUE
236,1,0,TRUE
118,5,0,TRUE
328,1,0,TRUE
129,1,0,TRUE
311,5,0,TRUE
512,7,0,TRUE
104,21,3,TRUE
118,24,2,TRUE
477,121,0,TRUE
179,37,0,TRUE
107,14,0,TRUE
106,33,2,TRUE
348,191,2,TRUE
328,2,0,TRUE
115,3,0,TRUE
136,19,0,TRUE
116,48,2,TRUE
119,52,2,TRUE
185,41,4,TRUE
104,26,1,TRUE
122,22,1,TRUE
109,19,3,TRUE
105,24,1,TRUE
149,27,0,TRUE
109,27,5,TRUE
162,81,0,TRUE
134,38,3,TRUE
140,41,3,TRUE
198,110,4,TRUE
104,27,1,TRUE
145,47,0,TRUE
119,25,0,TRUE
102,18,0,TRUE
105,33,0,TRUE
100,24,0,TRUE
217,46,0,TRUE
212,75,0,TRUE
102,23,0,TRUE
182,131,0,TRUE
108,27,0,TRUE
103,58,1,TRUE
207,66,0,TRUE
101,42,0,TRUE
279,152,2,TRUE
168,123,0,TRUE
100,38,4,TRUE
103,43,0,TRUE
387,220,2,TRUE
110,21,0,TRUE
162,123,0,TRUE
139,47,0,TRUE
113,25,0,TRUE
211,46,0,TRUE
206,75,0,TRUE
176,131,0,TRUE
102,27,0,TRUE
109,31,1,TRUE
128,1,0,TRUE
120,16,0,TRUE
169,12,1,TRUE
113,17,0,TRUE
163,13,1,TRUE
156,13,1,TRUE
146,7,1,TRUE
140,8,1,TRUE
141,1,0,TRUE
144,23,1,TRUE
131,29,8,TRUE
110,19,4,TRUE
113,19,4,TRUE
105,8,2,TRUE
350,69,0,TRUE
221,4,1,TRUE
338,85,1,TRUE
111,25,2,TRUE
169,73,2,TRUE
102,24,2,TRUE
125,33,1,TRUE
101,2,0,TRUE
147,6,0,TRUE
100,16,2,TRUE
136,25,0,TRUE
125,1,0,TRUE
113,26,2,TRUE
111,5,3,TRUE
113,30,3,TRUE
101,27,7,TRUE
111,2,0,TRUE
201,60,3,TRUE
143,40,1,TRUE
100,5,1,TRUE
151,52,1,TRUE
146,44,0,TRUE
131,35,0,TRUE
105,19,1,TRUE
138,19,3,TRUE
173,47,0,TRUE
140,1,1,TRUE
107,35,5,TRUE
117,29,5,TRUE
125,30,6,TRUE
112,31,2,TRUE
130,15,4,TRUE
386,101,1,TRUE
106,19,1,TRUE
138,39,5,TRUE
251,70,0,TRUE
118,31,0,TRUE
132,35,0,TRUE
111,37,0,TRUE
117,29,1,TRUE
129,20,6,TRUE
117,37,1,TRUE
105,25,2,TRUE
116,30,2,TRUE
103,35,1,TRUE
151,21,4,TRUE
323,34,8,TRUE
231,39,2,TRUE
134,26,6,TRUE
148,18,9,TRUE
107,9,0,TRUE
134,1,0,TRUE
109,24,8,TRUE
119,1,0,TRUE
143,18,0,TRUE
125,25,0,TRUE
120,23,0,TRUE
161,13,0,TRUE
207,37,0,TRUE
246,41,0,TRUE
327,52,0,TRUE
119,18,0,TRUE
312,70,0,TRUE
121,14,0,TRUE
402,82,0,TRUE
183,37,0,TRUE
235,30,0,TRUE
165,9,0,TRUE
260,33,0,TRUE
109,29,1,TRUE
148,33,0,TRUE
201,12,0,TRUE
113,34,4,TRUE
101,20,3,TRUE
239,42,0,TRUE
135,23,4,TRUE
120,18,4,TRUE
114,23,2,TRUE
121,28,0,TRUE
107,18,4,TRUE
158,28,4,TRUE
131,12,3,TRUE
221,54,0,TRUE
110,34,0,TRUE
160,40,1,TRUE
122,2,0,TRUE
153,36,2,TRUE
103,38,1,TRUE
133,20,1,TRUE
235,68,1,TRUE
118,30,3,TRUE
118,22,1,TRUE
117,33,1,TRUE
141,18,0,TRUE
144,27,0,TRUE
151,23,0,TRUE
103,9,0,TRUE
