NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,Is_Feature_Envy
1,0,6,5,30,6,0,0,0,2,1,TRUE
1,0,6,5,33,8,0,0,0,0,1,TRUE
0,0,5,5,27,7,0,0,-1,0,1,TRUE
5,0,6,3,82,13,3,0,0,0,2,TRUE
4,0,9,4,98,20,0,0,0.222222,4,3,TRUE
5,0,18,12,126,22,0,0,0,1,1,TRUE
3,0,8,8,146,9,0,0,0.25,1,3,TRUE
7,0,17,13,233,40,0,0,0.176471,26,12,TRUE
6,0,18,13,273,41,0,1,0.111111,5,7,TRUE
3,0,4,3,36,7,0,0,0,2,1,TRUE
1,0,6,5,92,14,0,0,0.333333,10,3,TRUE
6,0,10,6,187,29,0,0,0,3,8,TRUE
8,0,11,11,87,18,0,0,0,1,2,TRUE
3,0,14,9,136,19,0,0,0.142857,0,1,TRUE
1,0,2,2,17,2,0,0,0,1,1,TRUE
11,3,26,19,256,40,0,1,0,1,16,TRUE
2,0,6,6,39,6,0,1,0.666667,1,3,TRUE
16,1,25,17,278,62,0,1,0.12,7,11,TRUE
8,6,12,3,165,37,0,1,0.25,2,3,TRUE
40,0,91,79,723,130,0,4,0.208791,5,40,TRUE
3,0,7,7,66,10,0,0,0,5,6,TRUE
1,0,37,6,733,161,0,2,0.054054,3,20,TRUE
48,0,102,83,1129,186,0,4,0.04902,10,22,TRUE
3,0,3,3,28,3,0,2,0,1,3,TRUE
17,0,19,13,253,49,2,2,0,1,6,TRUE
4,0,4,1,54,11,0,0,0.5,1,1,TRUE
4,0,13,11,109,28,0,0,0.307692,4,3,TRUE
1,0,2,1,14,4,0,1,0,3,2,TRUE
3,0,15,10,119,19,0,0,0.266667,0,1,TRUE
4,0,6,6,86,16,0,0,0,13,11,TRUE
77,1,201,111,2318,470,0,1,0.129353,38,67,TRUE
12,1,15,9,212,57,0,0,0,1,7,TRUE
23,2,60,51,687,133,0,2,0.1,8,54,TRUE
28,0,48,43,626,112,0,1,0.041667,2,17,TRUE
7,1,20,13,387,73,5,0,0.15,14,15,TRUE
3,0,11,10,68,11,0,0,0,0,1,TRUE
1,0,2,2,13,3,0,1,0,1,3,TRUE
6,0,9,8,83,11,0,0,0,0,3,TRUE
2,0,6,5,61,14,0,0,0.333333,0,9,TRUE
12,0,11,4,210,42,0,0,0.363636,0,14,TRUE
2,0,5,4,80,20,0,0,0.6,0,12,TRUE
8,0,12,11,120,14,0,0,0,3,14,TRUE
1,0,2,2,24,5,0,1,0,5,2,TRUE
1,0,4,4,37,6,0,0,0.75,1,1,TRUE
2,0,27,11,303,69,0,0,0.333333,2,6,TRUE
1,0,8,8,69,14,0,1,0.375,1,3,TRUE
1,0,3,2,43,5,0,0,0,1,4,TRUE
1,0,5,5,54,9,0,0,0.6,1,4,TRUE
1,0,4,2,24,6,0,1,0,1,2,TRUE
2,0,2,1,20,2,0,0,0,1,1,TRUE
4,0,7,1,69,17,0,0,0.285714,2,2,TRUE
2,0,14,13,64,21,0,0,0.5,1,2,TRUE
24,13,19,9,288,34,0,0,0.157895,8,9,TRUE
2,0,18,15,101,27,0,0,0.277778,1,2,TRUE
3,0,8,4,117,19,4,3,0.625,1,4,TRUE
2,0,12,12,56,16,0,1,0.333333,1,1,TRUE
6,0,15,14,113,38,0,0,0.533333,1,2,TRUE
8,0,15,12,127,29,0,1,0,2,7,TRUE
2,0,3,2,21,5,0,0,0,1,1,TRUE
1,0,1,1,11,1,0,0,0,1,1,TRUE
1,0,7,7,61,14,0,1,0,1,6,TRUE
1,0,2,2,16,4,0,0,0,1,1,TRUE
3,0,6,6,66,12,0,1,0,1,8,TRUE
3,0,23,20,184,40,0,1,0.086957,2,18,TRUE
1,0,2,2,78,10,0,0,0,0,8,TRUE
1,0,4,3,68,14,0,0,0,1,4,TRUE
2,0,5,3,61,13,0,0,0,1,5,TRUE
2,0,8,8,100,19,0,1,0,2,7,TRUE
110,87,152,131,1559,275,0,3,0.223684,123,112,TRUE
20,3,49,39,549,93,0,2,0.428571,16,23,TRUE
1,0,9,7,132,28,0,0,0.666667,1,8,TRUE
1,0,1,1,13,1,0,0,0,1,1,TRUE
34,1,85,58,1088,239,0,0,0.117647,42,18,TRUE
1,0,3,3,44,14,0,0,0,1,3,TRUE
9,0,27,16,197,47,0,0,0.074074,8,10,TRUE
5,0,6,5,128,18,0,0,0,2,7,TRUE
1,0,4,3,83,14,0,0,0,1,5,TRUE
17,0,36,33,235,52,0,0,0.611111,5,11,TRUE
1,0,4,3,29,4,0,0,0.75,0,5,TRUE
6,0,8,8,81,14,0,1,0.25,0,5,TRUE
1,0,3,2,25,3,0,0,0.666667,0,3,TRUE
1,0,4,2,29,4,0,0,0.5,0,2,TRUE
7,0,9,2,80,9,4,0,0.333333,8,1,TRUE
6,0,8,2,74,8,0,0,0.375,0,0,TRUE
6,0,13,12,91,18,0,1,0.307692,0,6,TRUE
56,1,157,89,1616,297,0,0,0.261146,2,17,TRUE
10,0,15,9,134,21,0,1,0.266667,3,4,TRUE
9,0,17,0,358,65,0,0,0.117647,6,3,TRUE
10,0,17,0,313,55,0,0,0.176471,0,2,TRUE
3,0,24,17,284,48,0,1,0.375,1,7,TRUE
0,0,3,2,155,16,0,3,-1,2,6,TRUE
7,2,19,18,154,26,0,3,0.789474,0,8,TRUE
3,0,18,18,189,38,0,1,0.222222,0,5,TRUE
10,0,11,4,250,33,0,0,0,1,7,TRUE
5,0,5,1,157,20,0,0,0,1,5,TRUE
3,0,4,1,82,7,1,1,0.5,0,10,TRUE
1,0,2,2,17,4,0,0,0,0,1,TRUE
1,0,2,2,25,4,0,0,0,0,1,TRUE
1,0,3,3,35,6,0,0,0.666667,1,1,TRUE
1,0,3,3,24,5,0,0,0.666667,1,1,TRUE
7,0,14,11,306,54,1,1,0.214286,0,11,TRUE
4,0,9,5,98,16,0,1,0.555556,0,3,TRUE
